Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply
Coal, peat and oil shale;Crude, NGL and feedstocks;Electricity;Heat;Natural gas;Nuclear;Oil products;Renewables and waste;Total
194;-42;-7;0;17;0;45;50;258
145;-44;8;0;16;0;44;51;219
108;-48;13;0;15;0;39;85;211
87;371;9;0;0;0;86;208;761
97;397;15;0;0;0;101;203;814
107;385;16;0;0;0;170;203;881
109;390;11;0;16;0;127;207;861
100;375;14;0;26;0;132;177;825
133;457;14;0;31;0;80;167;882
131;484;3;0;31;29;45;173;896
183;459;5;0;34;36;41;171;928
178;500;2;0;34;74;20;182;990
207;536;4;0;32;77;-8;182;1030
128;465;8;0;25;160;6;199;992
137;396;8;0;24;183;34;190;971
144;428;17;0;23;193;-31;206;981
164;403;19;0;27;206;-30;216;1004
208;418;17;0;34;208;-3;200;1082
189;383;21;0;41;208;86;202;1129
221;448;20;0;55;214;57;216;1231
213;381;27;0;59;213;51;213;1158
208;358;32;0;78;208;87;225;1196
223;387;38;0;91;210;9;230;1188
231;416;26;0;97;213;0;223;1206
205;390;30;0;100;210;-24;226;1136
230;366;27;0;104;217;9;237;1192
286;388;24;0;115;212;5;243;1272
253;383;30;0;119;210;-41;257;1211
305;430;13;0;124;212;-47;265;1302
287;428;28;0;122;228;-32;290;1351
229;507;34;0;140;238;-94;311;1364
219;486;40;0;140;251;-86;310;1359
214;496;43;3;144;245;-116;327;1356
261;469;36;3;156;248;-98;317;1391
278;528;43;3;155;243;-117;330;1464
347;522;17;3;171;248;-98;333;1544
316;533;18;4;166;248;-91;368;1560
206;473;61;4;151;254;-52;343;1440
307;526;41;4;163;250;-91;368;1567
302;527;45;3;156;256;-113;367;1543
225;501;46;6;162;250;-95;386;1480
222;501;44;4;146;257;-116;341;1398
288;476;38;4;161;249;-80;395;1530
250;503;50;4;141;253;-116;387;1472
191;503;63;5;126;251;-142;424;1420
215;501;57;6;120;258;-179;422;1398
188;514;65;6;105;257;-147;440;1428
173;443;59;7;94;254;-118;449;1359
181;519;68;8;86;253;-163;456;1408
173;540;74;8;81;245;-203;483;1400
177;544;72;7;91;249;-209;494;1425
146;540;72;7;89;260;-219;499;1395
118;493;54;7;88;254;-194;492;1312
1404;4581;-5;0;408;102;-423;572;6639
1233;5050;-21;0;482;159;-471;577;7009
1227;5652;-10;0;565;161;-636;584;7542
1236;5361;0;0;590;160;-623;575;7300
1114;4589;9;0;658;199;-266;603;6907
1262;5123;8;0;707;172;-444;545;7373
1270;4981;19;0;738;196;-620;651;7236
1261;4993;16;0;788;333;-309;634;7715
1358;5367;21;0;873;436;-655;639;8038
1377;4825;12;0;906;668;-373;615;8029
1219;4115;-17;0;921;1149;-157;612;7842
1252;3523;-13;0;885;1188;204;614;7652
1117;3326;-48;0;942;1574;292;649;7852
1079;3287;-88;0;961;2086;166;643;8134
1053;3317;-83;0;1029;2445;91;681;8534
865;3162;-91;0;1035;2773;250;673;8666
826;3008;-106;0;1047;2897;485;725;8882
808;3239;-132;0;1042;3006;165;717;8844
872;3241;-151;0;1019;3316;286;624;9208
840;3283;-164;0;1090;3426;236;661;9372
889;3397;-190;0;1194;3615;257;744;9906
786;3298;-194;0;1192;3692;189;772;9736
620;3404;-221;0;1219;4017;119;740;9897
617;3323;-227;0;1163;3927;-29;748;9522
666;3409;-251;0;1238;4115;-3;743;9918
688;3584;-248;0;1369;4335;0;753;10479
606;3723;-235;0;1312;4314;-270;709;10159
715;3792;-207;0;1399;4233;-180;703;10454
642;3450;-227;0;1426;4301;116;728;10437
623;3571;-250;0;1497;4529;-129;698;10540
523;3669;-246;0;1572;4594;54;735;10900
562;3418;-277;0;1569;4765;219;671;10927
596;3669;-239;0;1646;4812;28;692;11204
575;3705;-223;0;1681;4890;32;706;11366
593;3665;-217;0;1718;4926;29;703;11416
547;3567;-228;0;1659;4911;88;687;11231
565;3534;-205;0;1611;4797;61;743;11108
